id,tempo,genre,duration_ms,energy,loudness,acousticness,album_name,macro_genre,instrumentalness,liveness,artists,popularity,speechiness,danceability,mode,valence,name,key
00GRoWhqbLHfqOpfsx4pli,107.251,heavy-metal,247120.0,0.659,-8.585,0.0102,Animal House (Anniversary Edition),Metal,0.134,0.142,U.D.O.,40.0,0.0306,0.542,0.0,0.206,In the Darkness,9.0
00GVRTIWMjYwwHEjTLclgf,137.675,chicago-house,451533.0,0.896,-13.426,0.014,Internal Empire,Electronic,0.888,0.148,Robert Hood,8.0,0.0542,0.615,0.0,0.36,Home,11.0
00GfGwzlSB8DoA0cDP2Eit,102.459,r&b,259267.0,0.86,-6.346,0.226,Tender Lover,Hip-Hop/R&B,0.000422,0.0513,Babyface,36.0,0.0445,0.743,1.0,0.687,Tender Lover,5.0
00Gu3RMpDW2vO9PjlMVFDL,130.001,edm,188000.0,0.746,-4.894,0.0249,Hide Away (feat. Envy Monroe),Electronic,0.0,0.361,Blasterjaxx,42.0,0.0421,0.573,1.0,0.134,Hide Away (feat. Envy Monroe),10.0
00GxbkrW4m1Tac5xySEJ4M,120.002,r&b,208133.0,0.725,-6.058,0.0104,Libertà,Hip-Hop/R&B,0.0,0.192,Rocco Hunt,78.0,0.0661,0.754,1.0,0.271,Ti volevo dedicare (feat. J-AX & Boomdabash),8.0
00HIh9mVUQQAycsQiciWsh,78.014,pop,209165.0,0.457,-9.359,0.282,Hippie Castle EP,Pop,0.00849,0.0614,Magic City Hippies,58.0,0.0383,0.706,1.0,0.723,Limestone,4.0
00Hveeqs6yqFu6MvZ50rj9,149.756,latin,162000.0,0.583,-9.003,0.000242,Brut Riddim,Latin,0.857,0.117,Sidney Samson,10.0,0.276,0.849,1.0,0.503,Brut Riddim - 120 bpm,1.0
00I41xsW6SunZDJ5fB8KAd,77.071,k-pop,165340.0,0.742,-5.017,0.561,Jack In The Box,Pop,0.0,0.155,j-hope,68.0,0.162,0.676,1.0,0.694,Safety Zone,8.0
00ITtxUozN0vifE2uYvtqn,104.708,rock,181693.0,0.902,-4.826,0.0164,Jazz (2011 Remaster),Rock,0.00105,0.737,Queen,41.0,0.197,0.521,0.0,0.592,Let Me Entertain You - Remastered 2011,11.0
00IXrawIDidTg6RrN3pt6X,95.004,black-metal,241564.0,0.75,-13.219,4.59e-06,Svartsyn,Metal,0.00219,0.101,Khold,18.0,0.0384,0.398,1.0,0.25,Dystopi,2.0
00Ia46AgCNfnXjzgH8PIKH,102.071,latin,226739.0,0.713,-4.017,0.0748,Latina (feat. Maluma),Latin,0.0,0.331,Reykon,74.0,0.129,0.826,0.0,0.75,Latina (feat. Maluma),9.0
00IiTu5o9IVasXMX3udpZo,186.059,punk-rock,226019.0,0.939,-4.335,0.0117,Holly Jolly Christmas,Alternative,0.0,0.102,Simple Plan,0.0,0.127,0.306,1.0,0.495,Christmas Every Day,2.0
00IjIaUaMCFG5gPE4PrDdG,121.986,kids,158360.0,0.298,-17.451,0.119,Kids Trap 2,Kids,4.63e-05,0.0643,Blake Rules;Netherfriends,12.0,0.394,0.965,1.0,0.501,It's Time to Go to Sleep,9.0
00IkpLspkS5EvJkp2EyWhR,125.955,disco,195933.0,0.857,-3.405,0.00363,Layla sitzt dicht im Flieger,Electronic,0.0,0.0995,Allessa;Hubert Molander,0.0,0.0701,0.722,0.0,0.925,Lüg nochmal - Discofox Remix,11.0
00J8yszzb5PR6ZIvSBtg0Y,144.573,k-pop,229201.0,0.462,-5.504,0.227,THE ALBUM,Pop,0.0,0.164,BLACKPINK,66.0,0.0494,0.527,1.0,0.334,You Never Know,5.0
00K3yuFVb33hBNoEyWcdnj,125.631,blues,361226.0,0.816,-6.163,0.0442,Złota Kolekcja,Jazz/Blues,0.00142,0.0442,Dzem,34.0,0.0544,0.716,1.0,0.834,Złoty Paw - 2003 Remaster,5.0
00KPxBKmSKv26ComPaEZe8,93.764,french,205453.0,0.228,-14.972,0.939,The Lost King (Original Motion Picture Soundtrack),Regional,0.904,0.0841,Alexandre Desplat,19.0,0.0371,0.195,0.0,0.0725,City’s Archives,5.0
00KSN0qtGSeYX9qFClCEcg,103.643,pop-film,351425.0,0.449,-13.516,0.662,Sensational Duets (Abhijeet & Alka Yagnik),Soundtrack,2.46e-06,0.153,Abhijeet,59.0,0.0356,0.365,1.0,0.556,"Tum Dil Ki Dhadkan Mein (From ""Dhadkan"")",0.0
00KfIFi2TpAaQGPbRbFbKJ,100.967,alternative,200693.0,0.907,-5.623,0.00401,LIVING THINGS,Alternative,0.0,0.266,Linkin Park,63.0,0.0484,0.553,0.0,0.451,IN MY REMAINS,9.0
00L0P49dBUYKHaeCZF5Q9i,121.945,romance,163395.0,0.0776,-26.606,0.936,Александр Цфасман и звёзды советской эстрады,Mood,0.0688,0.389,Александр Цфасман;Ivan Shmelyov,0.0,0.0565,0.384,1.0,0.543,Мне бесконечно жаль,1.0
00L5VK0Etex3Kolo7iglIV,129.892,gospel,348151.0,0.292,-8.967,0.937,Espero Por Ti,Jazz/Blues,3.77e-05,0.0777,Gabriel Guedes de Almeida;Isadora Pompeo,42.0,0.0282,0.543,1.0,0.151,Espero Por Ti,11.0
00LmM2QLGpfb5NC7PC7qqZ,124.218,afrobeat,172440.0,0.876,-5.877,0.194,Ainda Há Tempo,World,1.86e-06,0.353,Criolo,43.0,0.316,0.506,0.0,0.676,Vasilhame,2.0
00LvoGJplEaTcFLC0wIrQ9,129.947,mandopop,210785.0,0.569,-7.393,0.11,冰河時代,Pop,2.64e-05,0.105,G.E.M.,53.0,0.0367,0.619,0.0,0.207,冰河時代,7.0
00MI0oGDVJYM1qWbyUOIhH,137.639,rock,231080.0,0.785,-7.201,0.0418,867-5309 / Jenny,Rock,0.00669,0.123,Tommy Tutone,43.0,0.0456,0.73,1.0,0.724,867-5309 / Jenny,2.0
00MVmhRLK69vu0qCcgsM60,150.058,anime,244298.0,0.795,-4.337,0.381,Rap de Jack el Destripador,Soundtrack,0.0,0.121,Doblecero,34.0,0.29,0.823,0.0,0.481,Rap de Jack el Destripador,3.0
00Mk0LnP5u2W5yJmJpG4va,102.554,synth-pop,245266.0,0.875,-7.102,0.175,Very Best Of,Pop,0.00122,0.0542,The Blow Monkeys,26.0,0.0723,0.565,1.0,0.676,Digging Your Scene,9.0
00MzADTo5mKZHI0crdQ84L,184.719,j-rock,196693.0,0.816,-2.241,0.00095,表情 <Coupling Collection>,Rock,0.000122,0.224,Chatmonchy,31.0,0.0311,0.375,1.0,0.649,湯気(Album Mix),2.0
00NAQYOP4AmWR549nnYJZu,109.945,r&b,265600.0,0.771,-5.779,0.0155,Starboy,Hip-Hop/R&B,9.6e-06,0.46,The Weeknd,71.0,0.0533,0.665,1.0,0.764,Secrets,0.0
00NXXGqY8X8nkHZgxGEEJP,41.858,german,128106.0,0.0935,-15.575,0.159,Hans Zimmer: Epic Scores,Regional,0.806,0.0883,Hans Zimmer;Matt Dunkley;John Altman,35.0,0.0344,0.203,0.0,0.0346,Final Ascent - Single Edit / From ''No Time To Die'' Soundtrack,4.0
00NZcRjpixxnyUwltRhj7V,85.436,honky-tonk,173733.0,0.259,-12.877,0.785,Golden Hits,Folk/Country,0.0585,0.177,Ray Price,19.0,0.0326,0.551,1.0,0.426,Funny How Time Slips Away,0.0
00NenVXc1ciWotMBpgGiQz,85.251,romance,218045.0,0.32,-6.025,0.989,Velikie ispolniteli Rossii XX veka: Vladimir Nechaev,Mood,1.54e-06,0.222,Vladimir Nechaev,0.0,0.0308,0.179,0.0,0.184,Kol'tso dushi-devitsy,7.0
00NxqOPo7bEF9QFNU4bJj8,100.009,opera,383000.0,0.863,-3.233,0.0678,Vox Corvus: La Voz del Cuervo,Classical,0.0,0.122,El Cuervo de Poe,21.0,0.0307,0.6,0.0,0.385,Máscaras,2.0
00OHXqfI4QQN25lbIipmaZ,70.872,show-tunes,63466.0,0.515,-6.265,0.797,Monty Python's Spamalot,Soundtrack,0.00012,0.343,Christian Borle,23.0,0.0671,0.297,1.0,0.463,"Where Are You? - Original Broadway Cast Recording: ""Spamalot""",9.0
00OKDIsSQbx8rd5Al7fKNw,96.044,pop,208827.0,0.806,-2.892,0.00792,"Stand Out (From ""How to Build a Better Boy"")",Pop,9.33e-05,0.0488,Sabrina Carpenter,33.0,0.0665,0.414,1.0,0.77,"Stand Out - From ""How to Build a Better Boy""",7.0
00OOn0q7Zudq4VHJYkLbUJ,117.282,tango,175440.0,0.626,-7.092,0.879,Esenciales,Latin,0.0,0.401,Julio Sosa;Leopoldo Federico y su Orquesta,22.0,0.0884,0.455,1.0,0.723,Lloró Como una Mujer (with Leopoldo Federico y Su Orquesta),0.0
00Ofee5Bbfstz49RfSL0oM,141.917,funk,230907.0,0.692,-6.82,0.6,LADY LESTE,Jazz/Blues,0.0,0.214,Gloria Groove;Sorriso Maroto,51.0,0.0371,0.571,1.0,0.724,TUA INDECISÃO,1.0
00PBSElFPJbnIcFS7orAm2,92.028,latin,147133.0,0.718,-5.62,0.226,Frescura y Perreo,Latin,1.99e-06,0.108,Jhayco,1.0,0.0694,0.835,0.0,0.427,Christian Dior,7.0
00PHHvUVQ1fbkJbD3Tx5gM,155.011,happy,346666.0,0.888,-5.442,0.000101,Schizophrenic,Mood,0.0911,0.599,Rotterdam Terror Corps,17.0,0.169,0.623,0.0,0.0398,Schizophrenic - Remastered 2019,4.0
00PLtXXER1XcTRZvs3LioS,106.035,r&b,147000.0,0.57,-13.145,0.292,Look Out For #1,Hip-Hop/R&B,0.0388,0.0674,The Brothers Johnson,49.0,0.0821,0.88,1.0,0.791,Get The Funk Out Ma Face,2.0
00PTJgyN0GTk2ProuLJ1aW,85.016,pop,160941.0,0.593,-5.745,0.0332,Thousand Lakes,Pop,0.00439,0.11,Miki Ratsula,38.0,0.0365,0.609,1.0,0.264,Thousand Lakes,9.0
00PXizG9xlUNINeqADlh96,126.04,latin,180591.0,0.921,-3.661,0.00409,La Vida Es Una (feat. Pitbull),Latin,0.0,0.215,Lil Jon,32.0,0.211,0.742,1.0,0.604,La Vida Es Una (feat. Pitbull),9.0
00PXj8pxWLJ3apEnCPJTNI,102.999,pop-film,310706.0,0.709,-10.778,0.154,Majunu,Soundtrack,1.46e-06,0.167,Bombay Jayashri;Harish Raghavendra;O.S. Arun,62.0,0.0502,0.692,1.0,0.714,Mudher Kanave,2.0
00PnFrg2QQzPqkeuxGxcz9,103.169,piano,184220.0,0.0221,-27.33,0.996,Relaxing Piano (Neoclassical Sessions),Classical,0.95,0.0709,Kalen Elmsley,66.0,0.0459,0.367,1.0,0.158,Spheroidal,2.0
00QgsZma0GDCL0BPj8chP6,152.986,j-rock,234294.0,0.917,-5.978,0.0148,Nova Aurora,Rock,0.0,0.364,Strike;Rodolfo Abrantes,33.0,0.0482,0.639,1.0,0.918,Nova Aurora,10.0
00QyLmjxaSEE8qIZQjBXBj,171.966,rap,227893.0,0.899,-4.573,0.0521,Fast & Furious 6,Hip-Hop/R&B,0.0,0.0568,2 Chainz,59.0,0.408,0.554,1.0,0.552,We Own It (Fast & Furious),8.0
00REsurT9T9JF6CxhT4h39,109.402,turkish,167810.0,0.523,-9.506,0.296,Illegal,World,0.0,0.259,Aksan;Mavi,40.0,0.157,0.489,1.0,0.186,Hikaye,9.0
00RLfhwjN0Sg4hIkzZ7X7l,163.953,salsa,293266.0,0.844,-6.754,0.536,2En1,Latin,3.4e-06,0.172,Marc Anthony,30.0,0.0373,0.642,0.0,0.783,Necesito Amarte,4.0
00RTPYo7pvEqHGOyLZWyJu,126.508,club,94680.0,0.933,-4.22,0.0425,Black Tambourine,Electronic,0.928,0.288,Black Tambourine,17.0,0.0377,0.499,0.0,0.977,I Was Wrong,9.0
00ReeHCY0FQUyuAUyPJdnk,102.192,rap,244733.0,0.761,-9.644,0.0514,MC Breed & DFC,Hip-Hop/R&B,0.0,0.474,MC Breed,48.0,0.248,0.672,1.0,0.731,Ain't No Future In Yo' Frontin',0.0
00Ro1lnV3V6i87aY4t8Q43,107.951,latin,376013.0,0.755,-7.907,0.142,Sabor a Salsa,Latin,2.55e-05,0.136,Joe Arroyo,68.0,0.0735,0.571,1.0,0.875,La rebelion,1.0
00Rptyyrh7YXjPwjd7SAsV,137.0,pagode,258666.0,0.577,-6.769,0.75,Esquema Novo,Latin,0.0,0.525,Exaltasamba,44.0,0.0637,0.632,1.0,0.501,Já Tentei,11.0
00RrOc0e6AlGWXRd9FERYR,104.123,tango,196493.0,0.396,-11.278,0.857,Mis 30 Mejores Tangos,Latin,3.54e-06,0.0799,Héctor Varela;Jorge Falcón;Fernando Soler,16.0,0.0454,0.708,1.0,0.901,"Azúcar, Pimienta y Sal (with Jorge Falcón & Fernando Soler)",5.0
00S23GuTVLTLFZcorgQpZ8,100.967,r&b,280840.0,0.432,-16.887,0.0214,Rope A Dope Style,Hip-Hop/R&B,1.88e-06,0.0892,Levert,13.0,0.0825,0.719,0.0,0.768,Hey Girl,10.0
00S35gEf40z03JTJgvQMqi,127.957,pop,211875.0,0.831,-4.164,0.11,It's You,Pop,1.04e-05,0.134,Syn Cole,51.0,0.0523,0.646,1.0,0.486,It's You - Radio Edit,10.0
00SS0GOzQ6A1zxBvtblkWr,97.47,happy,186320.0,0.835,-4.304,0.0283,Mainiak Chapter 1,Mood,0.000103,0.376,Masters of Ceremony,16.0,0.118,0.483,0.0,0.212,Hardcore To Da Bone - 2012 Edit,6.0
00SmB7n85SKROGjybsyq5i,149.807,latin,158427.0,0.545,-10.027,0.944,Clandestino,Latin,0.000118,0.144,Manu Chao,66.0,0.0646,0.755,0.0,0.964,Bongo Bong,9.0
00TFDHSe7s8cWm5CzDY8UP,100.006,electronic,237640.0,0.777,-7.916,0.00106,18,Electronic,0.00109,0.12,Moby,29.0,0.0583,0.504,0.0,0.549,Extreme Ways,9.0
00UJgymLK9v1sGxEMTz5wl,123.018,chicago-house,454988.0,0.81,-11.118,0.024,You Should Be Dancing Remixed,Electronic,0.907,0.0606,Mark Farina;Homero Espinosa;Seven Davis Jr.;Luke Solomon,11.0,0.0473,0.744,1.0,0.715,You Should Be Dancing - Luke Solomon Remix,1.0
